ADDR_ID, LAT, LON, HUISNR, STRAAT_ID, STRAATNM, POSTCODE, NISCODE, GEM_NAAM, MATCH_NIS, MATCH_GEM
6021856, 50.6928401612, 4.66671813749, , 46941, 29, 20180917220409, , , 20171205092354, 
6021854, 50.693135306, 4.66794409682, , 46939, 25, 20180917220409, , , 20171205092354, 
6000494, 50.6932651817, 4.6700471241, , 1431332, 25, 20180917220409, 20170614120512, , 20171205092354, 
6020930, 50.6934409445, 4.66496932804, , 18137, 3, 20180917220409, 20171207152100, , 20171205092354, 
6020932, 50.6941151557, 4.66534270301, , 18139, 6, 20180917220409, 20171207152100, , 20171205092354, 
6021855, 50.6941275171, 4.66726165047, , 46940, 27, 20180917220409, , , 20171205092354, 
6018350, 50.6955978854, 4.66487617364, , 16877, 37, 20180917220409, , , 20171205092354, 
6020933, 50.6959323417, 4.6665105552, , 18140, 8, 20180917220409, 20171207152100, , 20171205092354, 
6020957, 50.6960326146, 4.66925311213, , 18164, 6, 20180917220409, , , 20171205092354, 
6020956, 50.6962499796, 4.66791815312, , 18163, 4, 20181005220409, , , 20171205092354, 
